Site,Batch Completion Date,Batch Number,Tank Number,Cost Center,Technology,Product,Inventory Category,Equalization Lot Number,Parent Batch Planned Qty,Parent Batch Actual Qty,PA Time,Formulated CM Time,QC Adj CM Time,Tot. CM Time,80 appv.,Filling Time,90 appv.,Tot. Time
Cleveland,2020-02-06,78551,,6,SOLVENTBASE,TKAPO1100A,1411,806043308,6500.0,6641.65,0 days 17:52:40.000000000,1 days 07:17:53.000000000,0 days 00:08:46.000000000,4 days 07:20:26.000000000,3 days 04:01:13.000000000,0 days 20:02:46.000000000,0 days 20:36:19.000000000,9 days 11:55:16.000000000
Cleveland,2019-10-07,67699,T714 B101,9,WBPRIMER,OPPRAY,1261,806038807,900.0,924.44,3 days 13:37:52.000000000,0 days 15:15:13.000000000,0 days 15:59:15.000000000,3 days 10:38:57.000000000,3 days 03:27:11.000000000,0 days 05:39:24.000000000,0 days 19:24:18.000000000,11 days 03:02:36.000000000
Cleveland,2019-06-29,62315,P27PW04,7,SOLVENTBASE,DCT7291RL,1131,806035611,180.0,189.99,0 days 18:11:02.000000000,14 days 05:32:59.000000000,0 days 22:21:18.000000000,3 days 04:49:10.000000000,3 days 03:07:29.000000000,2 days 20:22:16.000000000,0 days 21:52:09.000000000,15 days 23:56:40.000000000
Cleveland,2019-05-17,56273,Tote,3,WATERBASE,HWS301220,1121,806031337,2400.0,2420.45,0 days 01:24:17.000000000,4 days 14:55:12.000000000,1 days 21:22:52.000000000,4 days 14:54:40.000000000,3 days 02:52:57.000000000,0 days 09:55:37.000000000,0 days 12:26:02.000000000,7 days 07:36:23.000000000
Cleveland,2019-03-22,51737,T714 B101,9,WATERBASE,HMOP196652,1241,806028613,850.0,882.45,0 days 10:14:14.000000000,14 days 01:39:38.000000000,0 days 09:17:48.000000000,3 days 07:09:06.000000000,3 days 02:47:45.000000000,0 days 03:33:29.000000000,14 days 19:47:01.000000000,21 days 18:38:16.000000000
Cleveland,2019-03-04,48569,T822 B8,5,WATERBASE,BIP1HSRED,1411,806026446,800.0,803.07,3 days 05:23:22.000000000,1 days 00:13:27.000000000,0 days 00:31:15.000000000,2 days 19:47:55.000000000,3 days 02:44:42.000000000,0 days 06:24:37.000000000,0 days 10:44:19.000000000,7 days 19:15:39.000000000
Cleveland,2019-06-04,52475,T507 B24,6,SOLVENTBASE,TKAPO1100A,1411,806029142,6500.0,6596.26,0 days 07:46:16.000000000,2 days 01:30:23.000000000,1 days 20:53:20.000000000,6 days 00:00:01.000000000,3 days 02:43:08.000000000,2 days 22:03:29.000000000,1 days 04:24:47.000000000,10 days 20:04:22.000000000
Cleveland,2020-01-08,76871,,9,WBPRIMER,HMOP31001,1241,806044476,3000.0,2824.64,0 days 01:33:22.000000000,0 days 17:43:01.000000000,2 days 02:00:58.000000000,3 days 11:43:04.000000000,3 days 02:38:28.000000000,0 days 15:03:21.000000000,0 days 20:18:01.000000000,5 days 18:24:18.000000000
Cleveland,2019-08-21,63433,T508 B24,6,SOLVENTBASE,TKAPO1100A,1411,806036331,6500.0,6662.79,2 days 23:35:43.000000000,4 days 10:11:47.000000000,0 days 00:17:24.000000000,6 days 12:32:54.000000000,3 days 01:48:04.000000000,0 days 23:35:49.000000000,1 days 22:43:45.000000000,18 days 15:10:51.000000000
Cleveland,2020-01-21,80105,,5,WATERBASE,JWBE1G3Q,1291,806045771,1400.0,1470.08,0 days 08:24:22.000000000,1 days 06:03:51.000000000,1 days 12:24:30.000000000,3 days 14:49:13.000000000,3 days 01:45:45.000000000,0 days 07:17:42.000000000,0 days 09:45:25.000000000,5 days 22:23:07.000000000
